Sample month,GMV slab,Creators sampled,Sample orders,M+0,Spend M+0,Sample cost M+0,M+1,Spend M+1,Sample cost M+1,M+2,Spend M+2,Sample cost M+2,M+3,Spend M+3,Sample cost M+3,M+4,Spend M+4,Sample cost M+4,M+5,Spend M+5,Sample cost M+5,M+6 and later,Spend M+6 and later,Sample cost M+6 and later,Total GMV,Total spend,Total sample cost,ROAS,Final ROAS,Months observed
2025-11,£100-£200,36,36,248.0,92.0,216.0,65.0,13.0,0.0,0.0,8.0,0.0,0.0,6.0,12.0,153.0,46.0,0.0,119.0,134.0,0.0,0.0,11.0,60.0,585.0,310.0,288.0,1.89,0.98,11
2025-11,£200-£500,15,15,1250.0,854.0,90.0,25.0,7.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,125.0,49.0,1684.0,987.0,139.0,1.71,1.5,11
2025-11,£500-£1K,26,26,0.0,16.0,156.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,6.0,44.0,33.0,98.0,68.0,56.0,260.0,1.21,0.22,11
2025-11,£1K-£5K,35,35,3149.0,2392.0,210.0,15726.0,11068.0,0.0,2569.0,2435.0,6.0,3632.0,1180.0,0.0,102.0,28.0,0.0,0.0,1.0,0.0,1480.0,1996.0,91.0,26658.0,19100.0,307.0,1.4,1.37,11
2025-11,£5K-£10K,6,6,760.0,297.0,36.0,133.0,3.0,0.0,84.0,11.0,0.0,1164.0,988.0,6.0,73.0,350.0,0.0,108.0,3.0,0.0,4436.0,1644.0,62.0,6758.0,3296.0,104.0,2.05,1.99,11
2025-11,£10K-£25K,9,9,3678.0,2232.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,15.0,6.0,3857.0,2258.0,60.0,1.71,1.66,11
2025-11,£25K-£50K,8,8,905.0,773.0,48.0,636.0,472.0,0.0,3784.0,2866.0,12.0,1683.0,753.0,6.0,4993.0,2683.0,0.0,4149.0,3284.0,18.0,25547.0,14214.0,29.0,41697.0,25045.0,113.0,1.66,1.66,11
2025-11,£50K+,4,4,0.0,60.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,24.0,0.0,0.0,11
2025-11,No data,10,10,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,,0.0,11
2025-12,£0-£50,294,294,559.0,50.0,1771.0,25.0,10.0,6.0,50.0,5.0,9.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,42.0,34.0,634.0,110.0,1832.0,5.76,0.33,10
2025-12,£50-£100,18,18,0.0,32.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,108.0,0.0,0.0,10
2025-12,£100-£200,22,22,0.0,10.0,132.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,12.0,50.0,24.0,0.0,108.0,38.0,150.0,2.84,0.57,10
2025-12,£200-£500,25,25,126.0,93.0,150.0,301.0,203.0,0.0,26.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,12.0,0.0,2.0,24.0,59.0,138.0,48.0,512.0,447.0,234.0,1.15,0.75,10
2025-12,£500-£1K,14,14,119.0,8.0,84.0,0.0,5.0,0.0,0.0,1.0,0.0,25.0,2.0,6.0,25.0,1.0,0.0,0.0,1.0,6.0,43.0,114.0,66.0,212.0,132.0,162.0,1.61,0.72,10
2025-12,£1K-£5K,28,28,508.0,118.0,168.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,660.0,128.0,24.0,1611.0,1065.0,84.0,2804.0,1317.0,282.0,2.13,1.75,10
2025-12,£5K-£10K,9,9,625.0,305.0,54.0,882.0,100.0,25.0,2229.0,1112.0,0.0,170.0,39.0,6.0,1710.0,1107.0,0.0,723.0,570.0,18.0,531.0,364.0,196.0,6870.0,3597.0,299.0,1.91,1.76,10
2025-12,£10K-£25K,12,12,194.0,48.0,72.0,0.0,73.0,18.0,82.0,52.0,18.0,0.0,15.0,0.0,218.0,9.0,0.0,7155.0,1345.0,0.0,3471.0,2407.0,65.0,11120.0,3949.0,173.0,2.82,2.7,10
